,bias,domain,h,M,L,n,P,factual_rating,u,p,f,t
1437,pro-science,nextobserver.com,https://nextobserver.com,22,26,Next Observer,18,HIGH,https://mediabiasfactcheck.com/next-observer/,/,https://facebook.com/nextobserver,
1438,center,nextgov.com,https://nextgov.com,57,158285,NextGOV,69,HIGH,https://mediabiasfactcheck.com/nextgov/,/,https://facebook.com/nextgov,https://twitter.com/nextgov
1439,satire,politicops.com,https://politicops.com,33,3166,Newslo,23,SATIRE,https://mediabiasfactcheck.com/newslo/,/,https://facebook.com/newslony,
1440,left-center,newsy.com,https://newsy.com,58,318141,Newsy,75,HIGH,https://mediabiasfactcheck.com/newsy/,/,https://facebook.com/newsy,https://twitter.com/newsyvideos
1441,right,newsmax.com,https://newsmax.com,67,2796906,Newsmax,94,MIXED,https://mediabiasfactcheck.com/newsmax/,/,https://facebook.com/newsmax,https://twitter.com/newsmax
1442,right,nextnewsnetwork.com,https://nextnewsnetwork.com,43,46441,Next News Network,46,MIXED,https://mediabiasfactcheck.com/next-news-network/,/,https://facebook.com/nextnewsnet,
1443,left,newslogue.com,https://newslogue.com,30,462,NewsLogue,27,MIXED,https://mediabiasfactcheck.com/newslogue/,/,,https://twitter.com/newslogue
1444,fake-news,nmws.us,https://nmws.us,24,13,NMWS.us,17,LOW,https://mediabiasfactcheck.com/nmws-us/,/,,
1445,satire,now8news.com,https://now8news.com,40,1007,Now8News,26,SATIRE,https://mediabiasfactcheck.com/now8news/,/,,
1446,left,north99.org,https://north99.org,35,940,North99,22,MOSTLY FACTUAL,https://mediabiasfactcheck.com/north99/,/,https://facebook.com/wearenorth99,https://twitter.com/wearenorth99
1447,right,notliberal.com,https://notliberal.com,21,3287,Not Liberal,11,MIXED,https://mediabiasfactcheck.com/not-liberal/,/,,
1448,center,nwitimes.com,https://nwitimes.com,60,162304,Northwest Indiana Times,67,HIGH,https://mediabiasfactcheck.com/northwest-indiana-times/,/,https://facebook.com/nwitimes,
1449,center,noozhawk.com,https://noozhawk.com,57,258117,Noozhawk,68,HIGH,https://mediabiasfactcheck.com/noozhawk/,/,,https://twitter.com/noozhawk
1450,center,novinite.com,https://novinite.com,59,1933951,Novinite,79,HIGH,https://mediabiasfactcheck.com/novinite/,/,https://facebook.com/none,https://twitter.com/novinite_com
1451,fake-news,noscomunicamos.com,https://noscomunicamos.com,27,87,Nos Comunicamos,23,LOW,https://mediabiasfactcheck.com/nos-comunicamos/,/,,
1452,right-center,ntd.tv,https://ntd.tv,51,1232859,NTD.TV (New Tang Dynasty),90,HIGH,https://mediabiasfactcheck.com/ntd-tv-new-tang-dynasty/,/,,
1453,center,northkoreatimes.com,https://northkoreatimes.com,39,9527,North Korea Times,34,MIXED,https://mediabiasfactcheck.com/north-korea-times/,/,https://facebook.com/none,
1454,left-center,npr.org,https://npr.org,79,10213049,NPR,99,HIGH,https://mediabiasfactcheck.com/npr/,/,https://facebook.com/npr,https://twitter.com/npr
1455,satire,npcdaily.com,https://npcdaily.com,33,2066,NPC Daily,30,SATIRE,https://mediabiasfactcheck.com/npc-daily/,/,https://facebook.com/npc,https://twitter.com/npcdailysite
1456,left,nova-magazine.net,https://nova-magazine.net,25,5,Nova Magazine,14,MIXED,https://mediabiasfactcheck.com/nova-magazine/,/,,
1457,right,ntknetwork.com,https://ntknetwork.com,44,23139,NTK Network,48,MIXED,https://mediabiasfactcheck.com/ntk-network/,/,https://facebook.com/ntknetwork,
1458,left,nowtoronto.com,https://nowtoronto.com,56,195499,Now Magazine,62,HIGH,https://mediabiasfactcheck.com/now-magazine/,/,https://facebook.com/nowmagazine,https://twitter.com/nowtoronto
1459,satire,notallowedto.com,https://notallowedto.com,40,3585,Not Allowed to,27,SATIRE,https://mediabiasfactcheck.com/not-allowed-to/,/,,
1460,conspiracy,nowtheendbegins.com,https://nowtheendbegins.com,54,115818,Now The End Begins,62,LOW,https://mediabiasfactcheck.com/now-the-end-begins/,/,https://facebook.com/nowtheendbegins,
1461,satire,nottnews.com,https://nottnews.com,12,131,Nottnews,11,SATIRE,https://mediabiasfactcheck.com/nottnews/,/,https://facebook.com/nottnews,
1462,left,nowthisnews.com,https://nowthisnews.com,52,60815,NowThisNews,54,MIXED,https://mediabiasfactcheck.com/nowthis-news/,/,https://facebook.com/nowthisnews,https://twitter.com/nowthisnews
1463,right,numbersusa.com,https://numbersusa.com,56,425545,Numbers USA,80,MIXED,https://mediabiasfactcheck.com/numbers-usa/,/,https://facebook.com/numbersusa,https://twitter.com/numbersusa
1464,fake-news,onlineconservativepress.com,https://onlineconservativepress.com,21,15,Online Conservative Press,15,LOW,https://mediabiasfactcheck.com/online-conservative-press/,/,,
1465,conspiracy,nutritionfacts.org,https://nutritionfacts.org,61,363194,Nutritionfacts.org,79,MIXED,https://mediabiasfactcheck.com/nutritionfacts-org/,/,https://facebook.com/nutritionfacts.org,https://twitter.com/nutrition_facts
1466,fake-news,occupydemocrats.com,https://occupydemocrats.com,47,40318,Occupy Democrats,50,LOW,https://mediabiasfactcheck.com/occupy-democrats/,/,https://facebook.com/occupydemocrats,https://twitter.com/occupydemocrats
1467,right,offgridsurvival.com,https://offgridsurvival.com,52,135220,Offgrid Survival,67,MIXED,https://mediabiasfactcheck.com/offgrid-survival/,/,https://facebook.com/survivalwebsite,https://twitter.com/offgridsurvival
1468,center,180report.com,https://180report.com,24,1030,OneEighty,30,HIGH,https://mediabiasfactcheck.com/oneeighty/,/,,
1469,right,offendedamerica.com,https://offendedamerica.com,30,238,Offended America,24,MIXED,https://mediabiasfactcheck.com/offended-america/,/,,
1470,right,oann.com,https://oann.com,55,315564,One America News Network,74,MIXED,https://mediabiasfactcheck.com/one-america-news-network/,/,https://facebook.com/oneamericanewsnetwork,https://twitter.com/oann
1471,satire,observeronline.news,https://observeronline.news,16,607,Observer Online,14,SATIRE,https://mediabiasfactcheck.com/observer-online/,/,,
1472,pro-science,oceana.org,https://oceana.org,59,177300,Oceana,69,VERY HIGH,https://mediabiasfactcheck.com/oceana/,/,https://facebook.com/oceana,https://twitter.com/oceana
1473,left-center,oilandwaterdontmix.org,https://oilandwaterdontmix.org,36,1403,Oil and Water Don't Mix,29,HIGH,https://mediabiasfactcheck.com/oil-and-water-dont-mix/,/,https://facebook.com/oilandwaterdontmixcoalition,https://twitter.com/oilwaterdntmix
1474,right,onenewsnow.com,https://onenewsnow.com,57,137404,OneNewsNow,68,MIXED,https://mediabiasfactcheck.com/onenewsnow/,/,https://facebook.com/onenewsnowcom,https://twitter.com/onenewsnowcom
1475,left,occupy.com,https://occupy.com,53,61154,Occupy.com,58,HIGH,https://mediabiasfactcheck.com/occupy-com/,/,https://facebook.com/occupydotcom,https://twitter.com/occupy
1476,left,onegreenplanet.org,https://onegreenplanet.org,60,101469,One Green Planet,51,MIXED,https://mediabiasfactcheck.com/one-green-planet/,/,https://facebook.com/onegreenplanet,https://twitter.com/onegreenplanet
1477,left-center,ocweekly.com,https://ocweekly.com,59,118624,OCWeekly,63,HIGH,https://mediabiasfactcheck.com/oc-weekly/,/,https://facebook.com/ocweekly,https://twitter.com/ocweekly
1478,fake-news,oathkeepers.org,https://oathkeepers.org,55,124341,Oath Keepers,63,LOW,https://mediabiasfactcheck.com/oath-keepers/,/,,https://twitter.com/oathkeepers
1479,center,oilprice.com,https://oilprice.com,62,1718756,OilPrice,92,HIGH,https://mediabiasfactcheck.com/oil-price/,/,https://facebook.com/oilpricenews,https://twitter.com/oilandenergy
1480,left-center,oneindia.com,https://oneindia.com,57,3258388,OneIndia,93,MIXED,https://mediabiasfactcheck.com/oneindia/,/,https://facebook.com/oneindianews,https://twitter.com/oneindia
1481,right-center,ocregister.com,https://ocregister.com,67,1179747,Orange County Register,86,HIGH,https://mediabiasfactcheck.com/orange-county-register/,/,https://facebook.com/ocregister,https://twitter.com/ocregister
1482,conspiracy,ourhealthguides.com,https://ourhealthguides.com,21,101,Our Health Guides,15,LOW,https://mediabiasfactcheck.com/our-health-guides/,/,,
1483,center,openthegovernment.org,https://openthegovernment.org,47,33628,Open the Government,50,HIGH,https://mediabiasfactcheck.com/open-the-government/,/,https://facebook.com/openthegov,https://twitter.com/openthegov
1484,right-center,opendoorsusa.org,https://opendoorsusa.org,57,125021,Open Doors,65,MIXED,https://mediabiasfactcheck.com/open-doors/,/,https://facebook.com/opendoorsfans,https://twitter.com/opendoors
1485,left-center,orlandosentinel.com,https://orlandosentinel.com,67,1289692,Orlando Sentinel,88,HIGH,https://mediabiasfactcheck.com/orlando-sentinel/,/,https://facebook.com/orlandosentinel,https://twitter.com/orlandosentinel
1486,left,opednews.com,https://opednews.com,61,352227,OpEdNews (OEN),78,MIXED,https://mediabiasfactcheck.com/opednews-oen/,/,https://facebook.com/opednews,https://twitter.com/opednews
1487,right-center,ottawacitizen.com,https://ottawacitizen.com,60,1149794,Ottawa Citizen,88,HIGH,https://mediabiasfactcheck.com/ottawa-citizen/,/,https://facebook.com/theottawacitizen,https://twitter.com/ottawacitizen
1488,left-center,ourworldindata.org,https://ourworldindata.org,60,132312,Our World In Data,66,HIGH,https://mediabiasfactcheck.com/our-world-in-data/,/,https://facebook.com/ourworldindata,https://twitter.com/ourworldindata
1489,right,ontarioproud.ca,https://ontarioproud.ca,24,70,Ontario Proud,21,HIGH,https://mediabiasfactcheck.com/ontario-proud/,/,https://facebook.com/ontarioproud,https://twitter.com/ontarioisproud
1490,right-center,oregonlive.com,https://oregonlive.com,68,4572276,Oregonian,81,HIGH,https://mediabiasfactcheck.com/oregonian/,/,https://facebook.com/theoregonian,https://twitter.com/oregonian
1491,right-center,ottawasun.com,https://ottawasun.com,51,603639,Ottawa Sun,85,HIGH,https://mediabiasfactcheck.com/ottawa-sun/,/,https://facebook.com/ottawasun,https://twitter.com/ottawasuncom
1492,fake-news,openmagazines.com,https://openmagazines.com,20,1672,Open Magazines,20,VERY LOW,https://mediabiasfactcheck.com/open-magazines/,/,,
1493,fake-news,oppositionreport.com,https://oppositionreport.com,29,9798,Opposition Report,26,MIXED,https://mediabiasfactcheck.com/opposition-report/,/,,
1494,right,opslens.com,https://opslens.com,35,752,OpsLens,27,MIXED,https://mediabiasfactcheck.com/opslens/,/,https://facebook.com/opslens,https://twitter.com/opslens
1495,satire,ourlandofthefree.com,https://ourlandofthefree.com,31,70,Our Land of the Free,21,SATIRE,https://mediabiasfactcheck.com/our-land-of-the-free/,/,,
1496,left-center,opposingviews.com,https://opposingviews.com,58,1263852,Opposing Views,89,MIXED,https://mediabiasfactcheck.com/opposing-views/,/,https://facebook.com/opposingviews,
1497,left-center,opendemocracy.net,https://opendemocracy.net,64,571248,openDemocracy,83,HIGH,https://mediabiasfactcheck.com/opendemocracy/,/,https://facebook.com/opendemocracy,https://twitter.com/opendemocracy
1498,left-center,outsidethebeltway.com,https://outsidethebeltway.com,58,1440861,Outside The Beltway,91,HIGH,https://mediabiasfactcheck.com/outside-the-beltway/,/,https://facebook.com/outsidethebeltway,https://twitter.com/otbtweets
1499,center,parallax.news,https://parallax.news,24,187,Parallax News,23,HIGH,https://mediabiasfactcheck.com/parallax-news-pxw/,/,https://facebook.com/parallax,
1500,center,oyez.org,https://oyez.org,60,171850,Oyez Project,71,HIGH,https://mediabiasfactcheck.com/oyez-project/,/,,
1501,fake-news,patriotbeacon.com,https://patriotbeacon.com,21,6,Patriot Beacon,14,LOW,https://mediabiasfactcheck.com/patriot-beacon/,/,https://facebook.com/93642411898,
1502,left-center,ozy.com,https://ozy.com,57,387592,Ozy Media,80,HIGH,https://mediabiasfactcheck.com/ozy-media/,/,https://facebook.com/ozy,https://twitter.com/ozy
1503,pro-science,paho.org,https://paho.org,63,2283714,Pan American Health Organization,94,VERY HIGH,https://mediabiasfactcheck.com/pan-american-health-organization-paho/,/,https://facebook.com/pahowho,
1504,conspiracy,pakalertpress.com,https://pakalertpress.com,52,133190,Pak Alert Press,50,LOW,https://mediabiasfactcheck.com/pak-alert-press/,/,,
1505,center,patheos.com,https://patheos.com,64,917479,Patheos,75,HIGH,https://mediabiasfactcheck.com/patheos/,/,https://facebook.com/patheos,https://twitter.com/patheos
1506,fake-news,patribotics.blog,https://patribotics.blog,41,9544,Patribotics Blog,40,LOW,https://mediabiasfactcheck.com/patribotics-blog/,/,,
1507,fake-news,patriotfires.com,https://patriotfires.com,26,1691,Patriot Fires,19,LOW,https://mediabiasfactcheck.com/patriot-fires/,/,https://facebook.com/patriotfires,
1508,fake-news,pacificpundit.com,https://pacificpundit.com,37,87084,Pacific Pundit,63,LOW,https://mediabiasfactcheck.com/pacific-pundit/,/,https://facebook.com/fireandreamitchell,
1509,left-center,panampost.com,https://panampost.com,51,34562,PanAm Post,43,HIGH,https://mediabiasfactcheck.com/panam-post/,/,https://facebook.com/panampost,https://twitter.com/panampost
1510,left,pastemagazine.com,https://pastemagazine.com,65,792844,Paste Magazine,79,HIGH,https://mediabiasfactcheck.com/paste-magazine/,/,https://facebook.com/pastemagazine,https://twitter.com/pastemagazine
1511,center,guampdn.com,https://guampdn.com,56,76437,Pacific Daily News,52,HIGH,https://mediabiasfactcheck.com/pacific-daily-news/,/,,
1512,left,palmerreport.com,https://palmerreport.com,46,49435,Palmer Report,49,MIXED,https://mediabiasfactcheck.com/palmer-report/,/,https://facebook.com/palmerreport,https://twitter.com/palmerreport
1513,left-center,psmag.com,https://psmag.com,57,216153,Pacific Standard Magazine,71,HIGH,https://mediabiasfactcheck.com/pacific-standard-magazine/,/,https://facebook.com/pacificstand,https://twitter.com/pacificstand
1514,fake-news,overpassesforamerica.com,https://overpassesforamerica.com,40,2463,Overpasses for America,32,LOW,https://mediabiasfactcheck.com/overpasses-for-america/,/,https://facebook.com/overpassesforamerica2,
1515,right-center,pacificresearch.org,https://pacificresearch.org,50,125062,Pacific Research Institute,66,HIGH,https://mediabiasfactcheck.com/pacific-research-institute/,/,https://facebook.com/none,
1516,center,patch.com,https://patch.com,67,1612902,Patch,68,HIGH,https://mediabiasfactcheck.com/patch/,/,https://facebook.com/patch,https://twitter.com/patchtweet
1517,fake-news,patriotbeat.com,https://patriotbeat.com,29,5600,Patriot Beat,20,MIXED,https://mediabiasfactcheck.com/patriot-beat/,/,,
1518,right,patriotretort.com,https://patriotretort.com,41,154173,PatriotRetort.com,68,MIXED,https://mediabiasfactcheck.com/patriotretort-com/,/,,
1519,left,pfaw.org,https://pfaw.org,58,230897,People for the American Way (PFAW),74,HIGH,https://mediabiasfactcheck.com/people-american-way-pfaw/,/,https://facebook.com/peoplefor,https://twitter.com/peoplefor
1520,conspiracy,peta.org,https://peta.org,70,877301,PETA,87,MIXED,https://mediabiasfactcheck.com/peta-people-for-the-ethical-treatment-of-animals/,/,https://facebook.com/official.peta,https://twitter.com/peta
1521,fake-news,patriotsvoice.info,https://patriotsvoice.info,13,33,Patriots Voice,14,LOW,https://mediabiasfactcheck.com/patriots-voice/,/,,
1522,center,pnj.com,https://pnj.com,57,934409,Pensacola News Journal,56,HIGH,https://mediabiasfactcheck.com/pensacola-news-journal/,/,https://facebook.com/pnjnews,https://twitter.com/pnj
1523,fake-news,personalliberty.com,https://personalliberty.com/,50,142960,Personal Liberty,68,LOW,https://mediabiasfactcheck.com/personal-liberty/,/,,
1524,fake-news,patrioticviralnews.com,https://patrioticviralnews.com,33,3381,Patriotic Viral News,34,LOW,https://mediabiasfactcheck.com/patriotic-viral-news/,/,,
1525,fake-news,patriotjournal.org,https://patriotjournal.org,34,6345,Patriot Journal,26,MIXED,https://mediabiasfactcheck.com/patriot-journal/,/,https://facebook.com/patriotjournal,https://twitter.com/onlinepatriots
1526,fake-news,patriotupdate.com,https://patriotupdate.com,46,224331,Patriot Update,74,LOW,https://mediabiasfactcheck.com/patriot-update/,/,https://facebook.com/westernjournal,
1527,right-center,peninsuladailynews.com,https://peninsuladailynews.com,55,29667,Peninsula Daily News,49,HIGH,https://mediabiasfactcheck.com/peninsula-daily-news/,/,https://facebook.com/pendailynews,
1528,left,peacock-panache.com,https://peacock-panache.com,33,36330,Peacock Panache,44,MIXED,https://mediabiasfactcheck.com/peacock-panache/,/,https://facebook.com/peacockpanache,https://twitter.com/peacockpanache
1529,right,patriotnewsalerts.com,https://patriotnewsalerts.com,30,293,Patriot News Alerts,24,MIXED,https://mediabiasfactcheck.com/patriot-news-alerts/,/,,
